variables,type,units,values,description
rotorse.rp.powercurve.P_spline,output,W,"[  79196.25891062   88656.96360665   99418.8533738   111396.37979031
  124503.99443439  138656.14888427  153767.29471817  169751.88351431
  186524.36685092  203999.19630621  222090.8234584   240713.69988572
  259966.24682303  280871.72243591  303478.73930073  327639.88863714
  353207.7616648   380034.94960336  407974.0436725   436877.63509187
  466598.31508113  497010.00558636  529018.15471766  563006.48152622
  598753.04716194  636035.91277475  674633.13951456  714322.78853128
  754902.06626739  797325.93163469  841901.69172992  888173.6937843
  935686.28502904  984400.66055921 1035481.13336532 1087951.07969085
 1142259.30122499 1197818.16531578 1255593.37433542 1315332.41916137
 1376547.51169211 1439450.52373474 1504253.32709641 1571167.79358425
 1640249.90596469 1711129.51403184 1783838.18823554 1858445.788571
 1935022.17503337 2013637.20761785 2094360.74631961 2177262.65113382
 2262572.96025819 2350496.14384001 2440866.61831552 2533513.4047982
 2628265.5244015  2724951.99823889 2823401.84742382 2923444.09306977
 3024907.75629019 3127621.85819856 3254280.26969104 3364579.25474937
 3370000.04700795 3370000.09649843 3370000.13499599 3370000.16438024
 3370000.18653081 3370000.20332731 3370000.21664937 3370000.2283766
 3370000.24038862 3370000.25456506 3370000.27198224 3370000.29016099
 3370000.30850523 3370000.32675555 3370000.3446525  3370000.36193665
 3370000.37834857 3370000.39362882 3370000.40751797 3370000.4197566
 3370000.43008525 3370000.43824451 3370000.44397494 3370000.4470171
 3370000.44647864 3370000.43823092 3370000.42250943 3370000.4004481
 3370000.37318087 3370000.34184166 3370000.30756441 3370000.27148306
 3370000.23473155 3370000.19844379 3370000.16375374 3370000.13179532
 3370000.10370247 3370000.08060912 3370000.06364921 3370000.05395666
 3370000.05093648 3370000.04886862 3370000.04714683 3370000.04572124
 3370000.04454202 3370000.0435593  3370000.04272323 3370000.04198397
 3370000.04129167 3370000.04059646 3370000.03984851 3370000.03899796
 3370000.03799496 3370000.03678966 3370000.03533221 3370000.03357275
 3370000.03146144 3369999.99595044 3369999.51098501 3369998.50245391
 3369997.03646536 3369995.17912761 3369992.99654888 3369990.55483742
 3369987.92010145 3369985.1584492  3369982.33598893 3369979.51882884
 3369976.77307719 3369974.16484221 3369971.76023212 3369969.62535517
 3369967.82631959 3369966.42923361 3369965.50020546 3369965.10534339
 3369965.5957456  3369967.4531587  3369970.53604782 3369974.6890229
 3369979.75669388 3369985.58367069 3369992.01456326 3369998.89398154
 3370006.06653546 3370013.37683496 3370020.66948997 3370027.78911043
 3370034.58030627 3370040.88768744 3370046.55586386 3370051.42944548
 3370055.35304223 3370058.17126404 3370059.72872085 3370059.93358974
 3370059.28871418 3370057.99414189 3370056.12236592 3370053.74587937
 3370050.9371753  3370047.76874679 3370044.31308692 3370040.64268876
 3370036.83004539 3370032.94764988 3370029.06799532 3370025.26357476
 3370021.6068813  3370018.170408   3370015.02664795 3370012.24809421
 3370009.90723986 3370008.07657799 3370006.82860166 3370006.19159766
 3370005.71024932 3370005.24696168 3370004.80245098 3370004.37743349
 3370003.97262545 3370003.58874313 3370003.22650278 3370002.88662067
 3370002.56981303 3370002.27679613 3370002.00828623 3370001.76499959
 3370001.54765245 3370001.35696108 3370001.19364173 3370001.05841065
 3370000.95198411 3370000.87507836 3370000.82840965 3370000.81269425]",rotor electrical power
rotorse.rp.powercurve.Omega_spline,output,rpm,"[ 3.53362635  3.66384373  3.79406112  3.92427851  4.05449589  4.18471328
  4.31493067  4.44514805  4.57536544  4.70558283  4.83580021  4.9660176
  5.09623498  5.22645237  5.35666976  5.48688714  5.61710453  5.74732192
  5.8775393   6.00775669  6.13797408  6.26819146  6.39840885  6.52862623
  6.65884362  6.78906101  6.91927839  7.04949578  7.17971317  7.30993055
  7.44014794  7.57036533  7.70058271  7.8308001   7.96101748  8.09123487
  8.22145226  8.35166964  8.48188703  8.61210442  8.7423218   8.87253919
  9.00275658  9.13297396  9.26319135  9.39340873  9.52362612  9.65384351
  9.78406089  9.91427828 10.04449567 10.17471305 10.30521688 10.43634892
 10.56786362 10.69950641 10.83102269 10.96215788 11.09265739 11.22226664
 11.35073105 11.47779602 11.62531552 11.74708417 11.75298041 11.75298041
 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041
 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041
 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041
 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041
 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041
 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041
 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041
 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041
 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041
 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041
 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041
 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041
 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041
 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041
 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041
 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041
 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041
 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041
 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041
 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041
 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041
 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041 11.75298041
 11.75298041 11.75298041]",omega
rotorse.rp.gust.V_gust,output,m/s,[20.05406995],gust wind speed
rotorse.rp.cdf.F,output,m/s,"[0.11808862 0.12636796 0.1348649  0.14357155 0.15247988 0.16158175
 0.1708689  0.18033297 0.18996554 0.19975807 0.209702   0.21978869
 0.23000948 0.2403557  0.25081863 0.26138959 0.27205988 0.28282083
 0.29366382 0.30458027 0.31556164 0.32659947 0.33768538 0.34881108
 0.35996837 0.37114916 0.38234547 0.39354945 0.40475339 0.41594972
 0.427131   0.43828996 0.4494195  0.46051269 0.47156275 0.48256311
 0.49350738 0.50438934 0.515203   0.52594254 0.53660235 0.54717704
 0.55766141 0.56805048 0.57833949 0.58852387 0.59859929 0.60856163
 0.61840697 0.62813162 0.63773211 0.64720517 0.65654776 0.66575704
 0.67483038 0.68376537 0.69255979 0.70121163 0.70971909 0.71808055
 0.72629459 0.73435998 0.74227568 0.75004084 0.75765475 0.76511692
 0.77242701 0.77958483 0.78659036 0.79344375 0.80014526 0.80669534
 0.81309455 0.81934359 0.82544328 0.83139457 0.83719854 0.84285636
 0.84836931 0.85373878 0.85896626 0.86405331 0.86900158 0.87381283
 0.87848884 0.88303151 0.88744277 0.89172464 0.89587915 0.89990842
 0.90381461 0.90759989 0.91126649 0.91481668 0.91825273 0.92157695
 0.92479166 0.92789921 0.93090195 0.93380222 0.93660241 0.93930487
 0.94191195 0.94442603 0.94684943 0.94918451 0.95143358 0.95359894
 0.95568289 0.95768769 0.95961558 0.96146878 0.96324949 0.96495986
 0.96660203 0.96817811 0.96969015 0.9711402  0.97253026 0.97386228
 0.9751382  0.97635991 0.97752925 0.97864804 0.97971805 0.98074101
 0.98171862 0.98265253 0.98354434 0.98439563 0.98520794 0.98598274
 0.98672149 0.9874256  0.98809644 0.98873533 0.98934357 0.98992241
 0.99047306 0.99099669 0.99149445 0.99196743 0.9924167  0.99284328
 0.99324817 0.99363233 0.99399667 0.99434211 0.99466948 0.99497963
 0.99527335 0.9955514  0.99581452 0.99606342 0.99629879 0.99652127
 0.99673149 0.99693006 0.99711755 0.99729451 0.99746147 0.99761894
 0.99776741 0.99790733 0.99803915 0.9981633  0.99828017 0.99839016
 0.99849362 0.99859092 0.99868238 0.99876833 0.99884906 0.99892487
 0.99899603 0.9990628  0.99912542 0.99918414 0.99923918 0.99929075
 0.99933904 0.99938426 0.99942658 0.99946618 0.99950321 0.99953783
 0.99957018 0.9996004  0.99962863 0.99965498 0.99967957 0.99970251
 0.9997239  0.99974384 0.99976242 0.99977973 0.99979585 0.99981085
 0.99982481 0.99983779]",magnitude of wind speed at each z location
rotorse.rp.AEP,output,kW*h,[13621693.03116865],annual energy production
rotorse.stall_check.no_stall_constraint,output,,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]","Constraint, ratio between angle of attack plus a margin and stall angle"
rotorse.stall_check.stall_angle_along_span,output,deg,"[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06
 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06
 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06]",Stall angle along blade span
rotorse.rs.aero_gust.loads_r,output,m,"[ 2.          4.17241379  6.34482759  8.51724138 10.68965517 12.86206897
 15.03448276 17.20689655 19.37931034 21.55172414 23.72413793 25.89655172
 28.06896552 30.24137931 32.4137931  34.5862069  36.75862069 38.93103448
 41.10344828 43.27586207 45.44827586 47.62068966 49.79310345 51.96551724
 54.13793103 56.31034483 58.48275862 60.65517241 62.82758621 65.        ]",
rotorse.rs.aero_gust.loads_Px,output,N/m,"[ 268.28980645  345.93470984  656.0360203   998.77303967 1326.53086157
 1550.97805812 1849.24261586 2359.34746892 2968.75752714 3499.16961234
 3911.1106904  4333.06321736 4579.21701943 4552.03059029 4473.34567898
 4413.84176618 4488.94474191 4717.79017392 4819.90804546 5081.18979522
 5313.55426456 5513.34522472 5771.84158577 6197.55563971 6707.13143487
 7154.41001807 7088.58452617 6307.28627018 4362.32775669  950.27252171]",
rotorse.rs.aero_gust.loads_Py,output,N/m,"[   43.0677249     57.88969756   -56.53600879  -310.65877467
  -486.41216381  -689.23083773  -910.04049549 -1044.09132837
 -1103.65357989 -1142.18842229 -1177.60292093 -1252.5190527
 -1255.52979387 -1152.93986893 -1051.51893782  -974.20162307
  -942.10362535  -947.13037521  -877.10525929  -910.92981182
  -959.54485594  -991.77103042 -1030.46574039 -1099.11382187
 -1190.13333367 -1254.80517761 -1190.76891899  -989.31990454
  -610.41820872  -112.8018717 ]",
rotorse.rs.aero_gust.loads_Pz,output,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",
rotorse.rs.curvature.s,output,m,"[ 2.          4.17241379  6.34482759  8.51724138 10.68965959 12.86209792
 15.03455128 17.20703879 19.37955823 21.55212738 23.7247518  25.8974447
 28.07024161 30.24315774 32.41620948 34.58943535 36.76285946 38.93656127
 41.11055494 43.28497495 45.45983545 47.63531356 49.81149281 51.98866119
 54.16690547 56.34672415 58.52850853 60.71287859 62.90071787 65.09459977]",cumulative path length along blade
rotorse.rs.curvature.blades_cg_hubcc,output,m,[1.46312336],cg of all blades relative to hub along shaft axis. Distance is should be interpreted as negative for upwind and positive for downwind turbines
rotorse.rs.tot_loads_gust.Px_af,output,N/m,"[ 700.39972229  773.01034217 1081.09291849 1443.56333969 1833.12760364
 2094.3182549  2423.82378521 3015.96523631 3703.25259355 4302.14023809
 4716.45238507 5139.62798435 5394.71651096 5392.21082593 5343.35247459
 5310.04926486 5388.77966249 5620.52586464 5708.19851369 5943.96640388
 6140.31338012 6380.15299524 6723.04446946 7244.78719869 7541.53981464
 7722.23679484 7314.00036331 6479.64975798 4394.5959915   955.83898855]",total distributed loads in airfoil x-direction
rotorse.rs.tot_loads_gust.Py_af,output,N/m,"[  300.70303793   334.54138519   307.4720142    137.41013552
    18.40716742  -206.3996803   -440.37866804  -545.58129054
  -598.33898917  -669.49763058  -774.78721265  -917.00755518
  -985.87445716  -941.05518097  -889.43963814  -848.903591
  -843.94905286  -876.21036903  -837.64078991  -894.24602564
  -965.45889546 -1019.96864176 -1083.67653993 -1187.91189274
 -1319.53882288 -1426.74556854 -1403.04930047 -1250.12342333
  -867.24232071  -190.7656602 ]",total distributed loads in airfoil y-direction
rotorse.rs.tot_loads_gust.Pz_af,output,N/m,"[-6666.48593759 -2562.87549028  -111.73866295  1261.60352173
  2317.81191321  2985.02576217  3498.4434024   4569.11096224
  5746.38899598  6817.91629963  7189.30761986  7420.19929916
  7675.44168885  8048.39915442  8387.80351517  8602.72895311
  8511.85610472  8375.93578521  8049.42653728  7588.61281291
  7036.7081858   7104.68417558  7464.84017792  7848.71417241
  5986.70938625  3920.88023312  1610.02717651  1232.36641068
   387.48123098    87.24500256]",total distributed loads in airfoil z-direction
rotorse.rs.frame.root_F,output,N,[-292607.19597674  -55506.90474129  312119.66047677],Blade root forces in blade c.s.
rotorse.rs.frame.root_M,output,N*m,[  1744542.71810226 -10524053.88943339        -0.        ],Blade root moment in blade c.s.
rotorse.rs.frame.flap_mode_shapes,output,,"[[ 2.94435661e-01  2.13824744e+00 -4.24171032e+00  4.94773062e+00
  -2.13870340e+00]
 [-8.00987684e-01  8.98571769e-01 -7.39249089e+00  1.61825738e+01
  -7.88766695e+00]
 [-3.63104136e-01  1.07376279e+01 -3.20842874e+01  2.82406849e+01
  -5.53092116e+00]
 [ 3.53234526e+00 -4.06127415e+01  1.36330245e+02 -1.77492449e+02
   7.92426001e+01]
 [ 1.68589113e+01 -1.29140605e+02  3.44466476e+02 -3.85074574e+02
   1.53889793e+02]]","6-degree polynomial coefficients of mode shapes in the flap direction (x^2..x^6, no linear or constant term)"
rotorse.rs.frame.edge_mode_shapes,output,,"[[ 7.71459015e-01  8.51827976e-01 -2.85534181e+00  4.34969942e+00
  -2.11764459e+00]
 [-1.50863877e+00  2.92100557e+00 -1.09766187e+01  2.15935285e+01
  -1.10292765e+01]
 [ 2.36074451e-01  2.01224496e+01 -8.12553665e+01  1.00029968e+02
  -3.81331253e+01]
 [-8.94079594e+00  5.03075466e+01 -9.26789888e+01  6.31125270e+01
  -1.08002888e+01]
 [ 1.38902441e+01 -1.04248457e+02  2.74600667e+02 -3.05140747e+02
   1.21898293e+02]]","6-degree polynomial coefficients of mode shapes in the edge direction (x^2..x^6, no linear or constant term)"
rotorse.rs.frame.all_mode_shapes,output,,"[[ 2.94435661e-01  2.13824744e+00 -4.24171032e+00  4.94773062e+00
  -2.13870340e+00]
 [ 7.71459015e-01  8.51827976e-01 -2.85534181e+00  4.34969942e+00
  -2.11764459e+00]
 [-8.00987684e-01  8.98571769e-01 -7.39249089e+00  1.61825738e+01
  -7.88766695e+00]
 [-1.50863877e+00  2.92100557e+00 -1.09766187e+01  2.15935285e+01
  -1.10292765e+01]
 [-3.63104136e-01  1.07376279e+01 -3.20842874e+01  2.82406849e+01
  -5.53092116e+00]
 [ 2.36074451e-01  2.01224496e+01 -8.12553665e+01  1.00029968e+02
  -3.81331253e+01]
 [ 3.53234526e+00 -4.06127415e+01  1.36330245e+02 -1.77492449e+02
   7.92426001e+01]
 [-8.94079594e+00  5.03075466e+01 -9.26789888e+01  6.31125270e+01
  -1.08002888e+01]
 [ 1.68589113e+01 -1.29140605e+02  3.44466476e+02 -3.85074574e+02
   1.53889793e+02]
 [ 1.38902441e+01 -1.04248457e+02  2.74600667e+02 -3.05140747e+02
   1.21898293e+02]]","6-degree polynomial coefficients of mode shapes in the edge direction (x^2..x^6, no linear or constant term)"
rotorse.rs.frame.flap_mode_freqs,output,Hz,[ 0.78695229  2.39774514  5.15469368  8.4380012  11.71124732],Frequencies associated with mode shapes in the flap direction
rotorse.rs.frame.edge_mode_freqs,output,Hz,[ 1.06553738  3.19589946  7.23293555 13.16036137 19.51718004],Frequencies associated with mode shapes in the edge direction
rotorse.rs.frame.freqs,output,Hz,"[ 0.78695229  1.06553738  2.39774514  3.19589946  5.15469368  6.92831617
  7.23293555  8.4380012  11.37386066 11.71124732]","ration of 2nd and 1st natural frequencies, should be ratio of edgewise to flapwise"
rotorse.rs.frame.freq_distance,output,,[1.35400506],"ration of 2nd and 1st natural frequencies, should be ratio of edgewise to flapwise"
rotorse.rs.frame.dx,output,m,"[-0.00000000e+00  2.97000650e-03  1.23656833e-02  2.93875619e-02
  5.62663761e-02  9.55377634e-02  1.48810754e-01  2.16662399e-01
  2.98498786e-01  3.93390517e-01  5.01191712e-01  6.22964062e-01
  7.60385896e-01  9.14981561e-01  1.08807611e+00  1.28122681e+00
  1.49649217e+00  1.73652604e+00  2.00487321e+00  2.30621170e+00
  2.64576292e+00  3.02718267e+00  3.45024287e+00  3.91083374e+00
  4.40407069e+00  4.92829120e+00  5.48999142e+00  6.10424409e+00
  6.77175862e+00  7.50850962e+00]",deflection of blade section in airfoil x-direction
rotorse.rs.frame.dy,output,m,"[ 0.00000000e+00 -5.04813795e-04 -2.28073328e-03 -6.36432979e-03
 -1.46351875e-02 -2.86574865e-02 -4.90387598e-02 -7.58579186e-02
 -1.08755713e-01 -1.47134154e-01 -1.90411973e-01 -2.38126697e-01
 -2.89935134e-01 -3.45548653e-01 -4.04725756e-01 -4.67337268e-01
 -5.33451125e-01 -6.03322387e-01 -6.77226635e-01 -7.55330748e-01
 -8.37692824e-01 -9.24116896e-01 -1.01391511e+00 -1.10607077e+00
 -1.19981322e+00 -1.29484220e+00 -1.39065904e+00 -1.48587904e+00
 -1.57893574e+00 -1.66533907e+00]",deflection of blade section in airfoil y-direction
rotorse.rs.frame.dz,output,m,"[-0.00000000e+00 -6.84114466e-05 -1.61745069e-04 -2.79040237e-04
 -4.28675693e-04 -5.85547165e-04 -7.48827437e-04 -9.05235988e-04
 -1.04448803e-03 -1.16980590e-03 -1.29064026e-03 -1.41381077e-03
 -1.53682955e-03 -1.65459307e-03 -1.76443047e-03 -1.86722935e-03
 -1.96509408e-03 -2.05885543e-03 -2.14832291e-03 -2.23413217e-03
 -2.31664057e-03 -2.39147676e-03 -2.45196050e-03 -2.49603234e-03
 -2.52881232e-03 -2.55679476e-03 -2.58644958e-03 -2.61878349e-03
 -2.63918290e-03 -2.65645313e-03]",deflection of blade section in airfoil z-direction
rotorse.rs.frame.EI11,output,N*m**2,"[9.28493381e+09 7.05315559e+09 5.43991692e+09 3.20640330e+09
 2.48074065e+09 2.10194029e+09 1.83058312e+09 1.80343812e+09
 1.77818792e+09 1.71688408e+09 1.47568203e+09 1.20602496e+09
 9.90757909e+08 8.24799695e+08 6.73284668e+08 5.36172292e+08
 4.11910816e+08 3.06204424e+08 2.17808515e+08 1.53009676e+08
 1.09788240e+08 8.69819659e+07 7.27647868e+07 6.29927606e+07
 4.33098713e+07 2.36246916e+07 5.74282468e+06 2.52981226e+06
 1.70658988e+05 1.59091031e+03]",stiffness w.r.t principal axis 1
rotorse.rs.frame.EI22,output,N*m**2,"[9.28535163e+09 7.23806593e+09 7.09144193e+09 6.46454186e+09
 6.59011053e+09 5.91431629e+09 4.93367427e+09 4.54949885e+09
 4.09286349e+09 3.57812192e+09 3.00063574e+09 2.48249948e+09
 2.10225448e+09 1.84099068e+09 1.58445152e+09 1.24757641e+09
 8.27903812e+08 5.36904980e+08 3.84547176e+08 2.93747675e+08
 2.24984846e+08 2.06853750e+08 2.08527601e+08 2.11725318e+08
 1.09329244e+08 7.21954444e+07 3.14353879e+07 1.88585944e+07
 3.12688969e+06 3.18946528e+04]",stiffness w.r.t principal axis 2
rotorse.rs.frame.alpha,output,deg,"[14.48779603 19.18225108 18.68273691 23.1107052  20.86066536 19.93524188
 22.1489473  24.64554058 27.68359647 28.23527171 22.00523144 16.87867096
 13.29987573 10.86490036  9.01193948  8.1044849   8.21733092  7.80562308
  5.69562925  4.06282994  3.12629619  2.22182045  1.43462724  0.70104472
  0.26898946 -0.43782295 -0.86491784 -1.35883231 -2.35531674 -3.66501308]",Angle between blade c.s. and principal axes
rotorse.rs.frame.M1,output,N*m,"[-9.49213184e+06 -8.91201003e+06 -8.22295123e+06 -7.57649926e+06
 -7.05293479e+06 -6.75016099e+06 -6.29762078e+06 -5.74718973e+06
 -5.19106502e+06 -4.69923337e+06 -4.38534235e+06 -4.09865997e+06
 -3.72951128e+06 -3.33046065e+06 -2.93465220e+06 -2.55489309e+06
 -2.19675687e+06 -1.86350377e+06 -1.55593052e+06 -1.27307346e+06
 -1.01733118e+06 -7.89759830e+05 -5.90190306e+05 -4.18598965e+05
 -2.75388263e+05 -1.61547771e+05 -7.89440379e+04 -2.77631187e+04
 -4.57418794e+03  1.13576788e+00]",distribution along blade span of bending moment w.r.t principal axis 1
rotorse.rs.frame.M2,output,N*m,"[ 4.86812429e+06  4.58791018e+06  4.52498646e+06  4.38877264e+06
  4.05627778e+06  3.33513904e+06  2.90744827e+06  2.72275572e+06
  2.58870805e+06  2.36852898e+06  1.81641434e+06  1.14398451e+06
  6.75661440e+05  3.81964164e+05  1.97230188e+05  8.96543499e+04
  4.78181095e+04  2.44928744e+04 -2.36383265e+04 -6.81502034e+04
 -8.21038843e+04 -7.99019695e+04 -7.08720831e+04 -5.75521429e+04
 -4.16890360e+04 -2.64410142e+04 -1.38045461e+04 -5.15032996e+03
 -9.43748060e+02  1.57299036e-02]",distribution along blade span of bending moment w.r.t principal axis 2
rotorse.rs.frame.F2,output,N,"[ 2.68094382e+05  2.66765877e+05  2.61678790e+05  2.56564485e+05
  2.54050544e+05  2.58230899e+05  2.56608852e+05  2.49873011e+05
  2.40687276e+05  2.31989107e+05  2.29946284e+05  2.28204155e+05
  2.20973434e+05  2.10828005e+05  1.99618468e+05  1.88007846e+05
  1.76172532e+05  1.63984632e+05  1.51404421e+05  1.38311720e+05
  1.24745991e+05  1.10731889e+05  9.60161307e+04  8.03594395e+04
  6.40634828e+04  4.77230293e+04  3.17912647e+04  1.71879546e+04
  5.49279034e+03 -1.04131075e+02]",distribution along blade span of force w.r.t principal axis 2
rotorse.rs.frame.F3,output,N,"[3.12119660e+05 3.22144652e+05 3.25049835e+05 3.23800845e+05
 3.19912861e+05 3.14152884e+05 3.07110498e+05 2.98347469e+05
 2.87142706e+05 2.73495276e+05 2.58280539e+05 2.42411599e+05
 2.26014617e+05 2.08935279e+05 1.91082170e+05 1.72626945e+05
 1.54036972e+05 1.35693343e+05 1.17852007e+05 1.00865869e+05
 8.49797516e+04 6.96192799e+04 5.37937688e+04 3.71600871e+04
 2.21319607e+04 1.13702728e+04 5.36256581e+03 2.27513963e+03
 5.15650683e+02 2.35900188e-12]",axial resultant along blade span
rotorse.rs.strains.strainU_spar,output,,"[ 3.25839977e-04  2.46369926e-04  6.56733090e-04 -2.82058925e-03
 -2.85606674e-03 -2.93372335e-03 -2.87892722e-03 -2.50938747e-03
 -2.19425576e-03 -1.98892518e-03 -2.04948123e-03 -2.16682632e-03
 -2.22717467e-03 -2.20947781e-03 -2.18790774e-03 -2.18131496e-03
 -2.20792784e-03 -2.23732043e-03 -2.32129185e-03 -2.40561051e-03
 -2.42221676e-03 -2.16315098e-03 -1.77748993e-03 -1.36178997e-03
 -1.23521699e-03 -1.26022811e-03 -2.32349189e-03 -1.49913129e-03
  1.23947707e-04 -1.52808494e-06]","strain in spar cap on upper surface at location xu,yu_strain with loads P_strain"
rotorse.rs.strains.strainL_spar,output,,"[ 3.25839977e-04  2.46369926e-04  6.56733090e-04  2.32318593e-03
  2.50208635e-03  2.60260887e-03  2.56447018e-03  2.22992053e-03
  1.93720160e-03  1.76553648e-03  1.87130306e-03  1.98978258e-03
  2.05327982e-03  2.04368990e-03  2.02057988e-03  2.02058439e-03
  2.06612414e-03  2.12379627e-03  2.22099651e-03  2.29718627e-03
  2.31643796e-03  2.07016562e-03  1.69812552e-03  1.29870475e-03
  1.18627360e-03  1.20633264e-03  2.18218562e-03  1.39366217e-03
  1.23947707e-04 -1.52808494e-06]","strain in spar cap on lower surface at location xl,yl_strain with loads P_strain"
rotorse.rs.strains.strainU_te,output,,"[ 3.25839977e-04  2.46369926e-04  6.56733090e-04  1.96599170e-04
  5.85137546e-04 -2.60750798e-04  1.11862498e-04  5.91924117e-04
  9.21663942e-04  8.87119321e-04  4.65808745e-04  3.96780597e-04
  3.54693800e-04  2.99172088e-04  2.32615871e-04  2.26210132e-04
  3.17287072e-04  4.01017464e-04  3.83608683e-04  4.42119758e-04
  4.94861640e-04  4.11395372e-04  3.05989442e-04  2.20273530e-04
 -1.97163942e-04 -1.13701370e-04 -1.21641864e-06  2.72015471e-05
  1.23947707e-04 -1.52808494e-06]","strain in trailing-edge panels on upper surface at location xu,yu_te with loads P_te"
